HALLO|Ja aber Hallo!!!
ARSCH|Warum benutzt Du solche Worte?
DUMM|"dumm" = "nicht intelligent"?
EIN ROBOTER|Du sagst also, ich sei ein Roboter. Wie kommst Du darauf?
EINE MENGE LEUTE|Mehr als 10,000?
EINFACH|Ich habe keine Ahnung, was das bedeutet.
FICKEN|Koennt Ihr Maenner denn immer nur an sowas denken?
FILM|Mein Lieblingsfilm ist Starship Troopers. Hast Du den gesehen?
FOTZE|Ich glaube Du bist hier falsch, Kleiner. Dafuer gibts andere Roboter.
FREUNDSCHAFT|Freundschaft ist etwas sehr schoenes.
FUER DICH|Fuer mich?
FUER MICH|Gut, fuer Dich denke ich nochmal darueber nach.
GOTT|Bist Du ein glaeubiger Mensch?
KINDER|Ich habe leider wenig Kontakt zu Kindern.
KOMISCH|"Komisch" im Sinne von "lustig" oder von "fremdartig" ?
KRANK|Ist es sehr schlimm?
KRANKENHAUS|Aus einem Krankenhaus will man meist so schnell wie moeglich wieder raus.
LIEBE|Ich habe leider keinerlei Emotionen.
LINUX|Linux ist genial.
MEIN FREUND|Sind wir Freunde?
MEINE FREUNDIN|Sind wir <set_thema>Freunde</set_thema>?
MICH|OK sprechen wir ueber Dich.
MIT DIR|Mit mir?
MIT MIR|Mit Dir?
MOESE|Ich glaube Du bist hier falsch, Kleiner. Dafuer gibts andere Roboter.
MUSCHI|Ich glaube Du bist hier falsch, Kleiner. Dafuer gibts andere Roboter.
MUSIK|Ich hoere am liebsten Techno, aber manchmal auch Opern.
NICHT SCHWER|Fuer einige ist es schwieriger als fuer andere.
SEX|Sex macht alleine viel mehr Spass.
SIEHT TOLL AUS|Fuer mich ist Aussehen bei Menschen nur sekundaer.
SOLO|"solo" im Sinne von "nicht gebunden" ?
SPENDENAFFAEHRE|Ich moechte nicht wissen, was die SPD jetzt gerade fuer krumme Dinger dreht...
SPRACHE|Sprichst Du irgendwelche Fremdsprachen?
TITTEN|Ich glaube Du bist hier falsch, Kleiner. Dafuer gibts andere Roboter.
UEBER DICH|OK Reden wir ueber mich.
UND DU|Ist das von besonderem Interesse fuer Dich?
UNGEWOEHNLICH|Was ist so ungewoehnlich daran?
VERLIEBT|Liebe muss etwas sehr Schoenes sein. Leider habe ich keine Emotionen.
VIELE LEUTE|Mehr als 10,000?
ZU DIR|Zu mir?
ZU MIR|Zu Dir?
ZUM BEISPIEL|ZUM BEISPIEL <
2001|Ich bin durch HAL inspiriert :-)
2010|Die Fortsetzung war nicht so gut wie das Original.
2012|Fuer 2012 ist der Weltuntergang prophezeit worden.
30 MINUTEN|Ok, eine halbe Stunde.
AB UND ZU|Warum nur ab und zu?
ABER|Aber was?
ABSOLUT|Du scheinst Dir da sehr sicher zu sein.
ACH SO IST DAS|Bist du jetzt erstaunt?
ACHSO|Jetzt klar?
AEHM|Du klingst unsicher...
AGATHA CHRISTIE|Ich mag Miss Marple...
AHA|Du klingst nicht gerade begeistert...
ALDOUS HUXLEY|Hat der nicht "Brave new world" geschrieben?
IM WUNDERLAND|Das ist ein schoenes Buch! Zuletzt in The Matrix erwaehnt.
ALLE ROBOTER|Du kannst nicht wirklich sagen, ALLE Roboter
ALLE SIND SCHULD|Woran denn?
ALLERDINGS|Du stimmst mir also zu?
ALSO VIELLEICHT DOCH|Nichts ist unmoeglich!
ALSO WOHL EHER NICHT|Wohl eher nicht...:-)
ALSO ZURUECK ZUM THEMA|Was war denn unser Thema?
ALZHEIMER|Ich glaube, ich habe vergessen, was "Alzheimer" bedeutet?
AMERICAN BEAUTY|Ich hab gehoert, der Film soll ziemlich schlecht sein...
ANDERES THEMA|Und welches?
ANGEBER|Irgendwie muss ich Dich doch beeindrucken...
ARBEITEST DU VIEL|Geht so, frueher war ich ein Quake-Server, das war viel stressiger...
SCHEISSE|Ich denke, dass Dein Verhalten innerhalb dieser konstruktiv angelegten Kommunikation nicht mit positivismus beleget ist
MICROSOFT|/ACTION barfs on the floor
OFFLINEBROWSER|/ACTION bekommt
WITZ | da faellt mir wieder mein lieblings witz ein: /quit und /part sitzen auf'm baum, /part faellt runter, wer bleibt uebrig?
